Test,Status: 03/21/2023,Comment: 03/21/2023,Status: 03/17/2023,Comment: 03/17/2023
"RC6 & MC6 is enabled
#cat /sys/class/drm/card1/gt/gt0/rc6_enable #rc6 
#cat /sys/class/drm/card1/gt/gt1/rc6_enable #mc6 ",Pass,"localhost ~ # cat /sys/class/drm/card0/gt/gt0/rc6_enable
1
localhost ~ # cat /sys/class/drm/card0/gt/gt1/rc6_enable
1
",Pass,"localhost ~ # cat /sys/class/drm/card0/gt/gt0/rc6_enable
1
localhost ~ # cat /sys/class/drm/card0/gt/gt1/rc6_enable
1
"
"Check if MC6 increments 
#cat /sys/kernel/debug/dri/1/gt1/drpc  #mc6 
should see ""RC6 residency since boot:"" value increment",Pass,"localhost ~ # cat /sys/kernel/debug/dri/0/gt1/drpc | grep ""RC6 residency""
RC6 residency since boot: 992186 (1269999 us)
localhost ~ # cat /sys/kernel/debug/dri/0/gt1/drpc | grep ""RC6 residency""
RC6 residency since boot: 992186 (2539997 us)
",Pass,"localhost ~ # cat /sys/kernel/debug/dri/0/gt1/drpc | grep ""RC6 residency""
RC6 residency since boot: 1812950 (2320576 us)
"
"check DC5
#cat /sys/kernel/debug/dri/1/i915_dmc_info #dc5/6 
If DC3 -> DC5 count is incrementing, then display is in DC5 ",Pass,"localhost ~ # cat /sys/kernel/debug/dri/0/i915_dmc_info | grep ""DC5""
DC3 -> DC5 count: 537
localhost ~ # cat /sys/kernel/debug/dri/0/i915_dmc_info | grep ""DC5""
DC3 -> DC5 count: 565",Pass,"
localhost ~ # cat /sys/kernel/debug/dri/0/i915_dmc_info | grep ""DC5""
DC3 -> DC5 count: 611
"
"S0ix sub-state residencies
#cat /sys/kernel/debug/pmc_core/substate_residencies 
s0i3.0/s0i2.0 residency should increment",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/substate_residencies
Substate   Residency
S0i2.0     0
S0i2.1     0
S0i2.2     0
",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/substate_residencies
Substate   Residency
S0i2.0     0
S0i2.1     0
S0i2.2     0
"
"S0ix residency
#cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec
residency should increment",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec
0
",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec
0
"
Listing audio card: aplay -l,Pass,,Pass,
Listing recording dmic: arecord -l,Pass,,Pass,
Youtube Play with Audio ( http://otc-chromeos-media.jf.abcd.com/),Pass,,Pass,
"Audio Record using meet or ""speakpipe"" or any such recording app (using headset)",Pass,,Pass,
"Local Video Playback:
Copy file to Downloads and play complete video

https://jira.devtools.abcd.com/secure/attachment/2685258/bbb_full.ffmpeg.720x480.mp4.libx264_500kbps_25fps.libfaac_stereo_128kbps_44100Hz.mp4",Pass,,Pass,
Type C Pen Drive – Port0,Pass,,Pass,
Type C Disp : HDMI display -Port0,Pass,,Pass,
Type C Disp :  DP display -Port0,Pass,,Pass,
Type C DOCK station display -Port0,Pass,,Pass,
Type C Pen Drive – Port1,Pass,,Pass,
Type C Disp : HDMI display -Port1,Pass,,Pass,
Type C Disp : DP display -Port1,Pass,,Pass,
Type C DOCK station display -Port1,Pass,,Pass,
Type C Pen Drive – Port2,,,,
Type C Disp : HDMI display -Port2,,,,
Type C Disp : DP display -Port2,,,,
Type C DOCK station display -Port2,,,,
Type C Pen Drive – Port3,,,,
Type C Disp : HDMI display -Port3,,,,
Type C Disp : DP display -Port3,,,,
Type C DOCK station display -Port3,,,,
Recovery screen ,,,,
On board HDMI,Fail,External display is not detected in kernel or UI with native HDMI port,Pass,
On board DP,,,,
TBT (Lenevo),Pass,"localhost ~ # ectool usbpdmuxinfo
Port 0: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=1 USB4=0
Port 1: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=0 USB4=0
localhost ~ # cat /sys/bus/thunderbolt/devices/
0-0/     0-0:1.1/ 0-1/     1-0/     domain0/ domain1/
localhost ~ # cat /sys/bus/thunderbolt/devices/0-1/device_name
ThinkPad Thunderbolt 3 Dock
",Pass,"localhost ~ # ectool usbpdmuxinfo
Port 0: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=1 USB4=0
Port 1: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=0 USB4=0
localhost ~ # cat /sys/bus/thunderbolt/devices/
0-0/     0-0:1.1/ 0-1/     1-0/     domain0/ domain1/
localhost ~ # cat /sys/bus/thunderbolt/devices/0-1/device_name
ThinkPad Thunderbolt 3 Dock
"
Display behind TBT (Lenovo),Pass,,Pass,Had to reboot and try again to detect
USB behind TBT (Lenovo),Pass,,Pass,
USB4/Gatkex card,Pass,"localhost ~ # ectool usbpdmuxinfo
Port 0: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=0 USB4=1
Port 1: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=0 USB4=0
localhost ~ # cat /sys/bus/thunderbolt/devices/
0-0/     0-0:1.1/ 0-1/     1-0/     domain0/ domain1/
localhost ~ # cat /sys/bus/thunderbolt/devices/0-1/device_name
abcd Thunderbolt generic model name
",Pass,"localhost ~ # ectool usbpdmuxinfo
Port 0: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=0 USB4=1
Port 1: USB=0 DP=0 POLARITY=NORMAL HPD_IRQ=0 HPD_LVL=0 SAFE=0 TBT=0 USB4=0
localhost ~ # cat /sys/bus/thunderbolt/devices/
0-0/     0-0:1.1/ 0-1/     1-0/     domain0/ domain1/
localhost ~ # cat /sys/bus/thunderbolt/devices/0-1/device_name
abcd Thunderbolt generic model name
"
Display behind USB4/Gatkex card,Pass,,Pass,Had to reboot and try again to detect
USB behind USB4/Gatkex card,Pass,,Pass,
On board speaker functionality,Pass,,Pass,
On board mic functionality,Pass,Onboard microphone works fine after applying audio BKM,Pass,
3.5mm jack detection and functionality,Pass,,Pass,
Touchscreen functionality,Pass,,Fail,Touchscreen is broken on A3 281 Q0IP
generate_logs link,,,,
,,,,
,,,,
,,,,
"Speedometer
Run Speedometer test by clicking “Start Test” at 
http://10.223.141.111:3655/
(Expected: >140)",,,,
"WebXPRT 3

http://user-awfy.sh.abcd.com:8080/awfy/ARCworkloads/webxprt3/
(Expected: >220)",,,,
"WebGL Aquarium 5000 Fish for 5 minutes.

https://webglsamples.org/aquarium/aquarium.html?numFish=5000
(FPS: 60)",Fail,Fps varies between 45 and 50,Pass,
"S0ix: Ensure system enters S0ix in dev mode
cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec
0
",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec
0
"
"S0ix: Ensure system enters S0ix in normal mode
cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec
0
",Fail,"localhost ~ # cat /sys/kernel/debug/pmc_core/slp_s0_residency_usec
0
"
"Basic Residency check in S0-Idle (Idle Display ON) 
in dev mode
1. Boot the system with the BKC, login.
2. Wait for 5 minutes after boot. Ensure there are no applications/browser running. 
3. Ensure the display is ON.
4. Set wallpaper to Solid Color, Grey.
5. Disable gle Playstore.

Collect SoCWatch by following the below procedure:
1.	/usr/share/vboot/bin/make_dev_ssd.sh --edit_config --partitions 2  
After opening this config file add below line at the end of config file: 
lsm.module_locking=0 loadpin.enabled=0 save (Esc+:+wq) 
2.	reboot
3.	echo 0 > /proc/sys/kernel/loadpin/enforce
4.	cd /usr/local/lib/modules/5.15.*/extra 
5.	insmod socwatch2_14.ko 
6.	lsmod | grep soc* //This should show you socwatch2_14.ko module
7.	cd /usr/local/opt/socwatch.   Run socwatch command
8.	Use below socwatch commands:

./socwatch -s 120 -t 180 -f core-temp -f hw-igfx-cstate -f hw-igfx-pstate -f hw-cpu-cstate -f hw-cpu-pstate -f hw-cpu-hwp -f cpu-igpu-concurrency -f pch-slps0 -f pch-slps0-dbg -f acpi-sstate -f cpu-pkgc-cfg -f panel-srr -m -o 
/home/SoCWatch_Logs/IDO
(PC10 >75)",Fail,"localhost ~ # cd /usr/local/lib/
localhost /usr/local/lib # ls
debug  flimflam  portage  python-exec  systemd  tmpfiles.d  udev

There is no modules directory.",Fail,"localhost ~ # cd /usr/local/lib/
localhost /usr/local/lib # ls
debug  flimflam  portage  python-exec  systemd  tmpfiles.d  udev

There is no modules directory."
"
Basic Residency check in S0-Idle (Idle Display ON) 
in normal mode
1. Boot the system with the BKC, login.
2. Wait for 5 minutes after boot. Ensure there are no applications/browser running. 
3. Ensure the display is ON.
4. Set wallpaper to Solid Color, Grey.
5. Disable gle Playstore.

Collect SoCWatch by following the below procedure:
1.	/usr/share/vboot/bin/make_dev_ssd.sh --edit_config --partitions 2  
After opening this config file add below line at the end of config file: 
lsm.module_locking=0 loadpin.enabled=0 save (Esc+:+wq) 
2.	reboot
3.	echo 0 > /proc/sys/kernel/loadpin/enforce
4.	cd /usr/local/lib/modules/5.15.*/extra 
5.	insmod socwatch2_14.ko 
6.	lsmod | grep soc* //This should show you socwatch2_14.ko module
7.	cd /usr/local/opt/socwatch.   Run socwatch command
8.	Use below socwatch commands:

./socwatch -s 120 -t 180 -f core-temp -f hw-igfx-cstate -f hw-igfx-pstate -f hw-cpu-cstate -f hw-cpu-pstate -f hw-cpu-hwp -f cpu-igpu-concurrency -f pch-slps0 -f pch-slps0-dbg -f acpi-sstate -f cpu-pkgc-cfg -f panel-srr -m -o /home/SoCWatch_Logs/IDO
(PC10 >75)",Fail,"localhost ~ # cd /usr/local/lib/
localhost /usr/local/lib # ls
debug  flimflam  portage  python-exec  systemd  tmpfiles.d  udev

There is no modules directory.",Fail,"localhost ~ # cd /usr/local/lib/
localhost /usr/local/lib # ls
debug  flimflam  portage  python-exec  systemd  tmpfiles.d  udev

There is no modules directory."
Power Load Test,Pass,,Pass,
"PCX residency	
""1.) Check to see that the system is entering PC10.
i.) PC10: """"cat /sys/kernel/debug/pmc_core/package_cstate_show""""
a.) Run command multiple times and make sure """"Package C10"""" is changing.""	",Fail,"localhost /usr/local/lib # cat /sys/kernel/debug/pmc_core/package_cstate_show
Package C2 : 4770282662
Package C3 : 0
Package C6 : 0
Package C7 : 0
Package C8 : 0
Package C9 : 0
Package C10 : 0
",Fail,"localhost /usr/local/lib # cat /sys/kernel/debug/pmc_core/package_cstate_show
Package C2 : 4770282662
Package C3 : 0
Package C6 : 0
Package C7 : 0
Package C8 : 0
Package C9 : 0
Package C10 : 0
"
"twAN Enumeration	
1.) Check lspci	",Pass,"localhost ~ # lspci | grep MEDIATEK
59:00.0 Wireless controller [0d40]: MEDIATEK Corp. Device 4d75 (rev 01)
",Pass,"localhost ~ # lspci | grep MEDIATEK
59:00.0 Wireless controller [0d40]: MEDIATEK Corp. Device 4d75 (rev 01)
"
"Turbo Enablement	
""1) iotools rdmsr 0 0x1a0
2) Check that turbo is not disabled at bit 38
(e.g. 0x0000004000850089 -> turbo disabled, 0x0000000000850089 -> turbo enabled)""	",Pass,"localhost ~ # iotools rdmsr 0 0x1a0
0x0000000000850089",Pass,"localhost ~ # iotools rdmsr 0 0x1a0
0x0000000000850089"
"HW Decoder Enablement
""1) vainfo
2) Ensure a valid Driver version is shown (e.g. """"vainfo: Driver version: abcd iHD driver for abcd(R) Gen Graphics - 21.2.3 (5bbec6e)"""")
3) If libva returns an error, then HW deode is not enabled (e.g. """"libva error: vaGetDriverNameByIndex() failed with unknown libva error, driver_name = (null)"""")""",Pass,"localhost ~ # vainfo
Trying display: drm
libva info: VA-API version 1.17.0
libva info: Trying to open /usr/lib64/va/drivers/iHD_drv_video.so
libva info: Found init function __vaDriverInit_1_17
libva info: va_openDriver() returns 0
vainfo: VA-API version: 1.17 (libva 2.17.0)
vainfo: Driver version: abcd iHD driver for abcd(R) Gen Graphics - 22.6.6 (112b71a)",Pass,"localhost ~ # vainfo
Trying display: drm
libva info: VA-API version 1.17.0
libva info: Trying to open /usr/lib64/va/drivers/iHD_drv_video.so
libva info: Found init function __vaDriverInit_1_17
libva info: va_openDriver() returns 0
vainfo: VA-API version: 1.17 (libva 2.17.0)
vainfo: Driver version: abcd iHD driver for abcd(R) Gen Graphics - 22.6.6 (112b71a)
vainfo: Supported profile and entrypoints"
"Boot Time
""Ensure release, non-serial CB with no FSP logs is being used.
1) /usr/share/vboot/bin/set_gbb_flags 0x00
2) /usr/share/vboot/bin/make_dev_ssd.sh --partitions 2 --edit_config
3) change logLevel=7 to logLevel=1 and save
4) Reboot twice
5) Measure kernel boot time with """"bootstat_summary|grep boot-complete""""
6) Measure coreboot time with """"cbmem -t""""""",,"localhost ~ # bootstat_summary | grep boot-complete
    4648  28%        7  53%  boot-complete

localhost ~ # cbmem -t | grep ""Total""
Total Time: 1,075,800
",,"localhost ~ # bootstat_summary | grep boot-complete
    4850  26%        6  49%  boot-complete

localhost ~ # cbmem -t | grep ""Total""
Total Time: 2,100,965
"
"S0ix Resume Time	
1.) echo 1 > /var/lib/power_manager/suspend_to_idle
2.) restart powerd
3.) suspend_stress_test -c 3 --suspend_min=10
4.) take average of resume time... (dmesg | grep """"resume of devices"""")",Fail,System does not enter s0ix,Fail,System does not enter s0ix
abcdtool -t (check if TME enabled),Pass,"CPU: ID 0xa06a1, Processor Type 0x0, Family 0x6, Model 0xaa, Stepping 0x1
Northbridge: 8086:7d02 (unknown)
Southbridge: 8086:7e04 (unknown)
IGD: 8086:7d45 (unknown)

============= Dumping abcd TME status =============
TME supported : YES
TME locked    : YES
TME enabled   : YES
====================================================",Pass,"CPU: ID 0xa06a1, Processor Type 0x0, Family 0x6, Model 0xaa, Stepping 0x1
Northbridge: 8086:7d02 (unknown)
Southbridge: 8086:7e04 (unknown)
IGD: 8086:7d45 (unknown)

============= Dumping abcd TME status =============
TME supported : YES
TME locked    : YES
TME enabled   : YES
===================================================="
abcdtool -k (check if KeyLocker enabled),Fail,"CPU: ID 0xa06a1, Processor Type 0x0, Family 0x6, Model 0xaa, Stepping 0x1
Northbridge: 8086:7d02 (unknown)
Southbridge: 8086:7e04 (unknown)
IGD: 8086:7d45 (unknown)

============= Dumping abcd Key Locker status =============
Key Locker supported : YES
AESKL instructions enabled : NO
===========================================================",Fail,"CPU: ID 0xa06a1, Processor Type 0x0, Family 0x6, Model 0xaa, Stepping 0x1
Northbridge: 8086:7d02 (unknown)
Southbridge: 8086:7e04 (unknown)
IGD: 8086:7d45 (unknown)

============= Dumping abcd Key Locker status =============
Key Locker supported : YES
AESKL instructions enabled : NO
==========================================================="
